CustomerID,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_AvgScore,TotalOrders,TotalItemsBought,AvgOrderValue,CustomerLifespanDays,Churned,Cluster,Segment
16738,United Kingdom,297,1,3.75,4,1,1,2.0,1,3,3.75,0,1,2,Hibernating
13788,United Kingdom,505,1,3.75,5,1,1,2.3333333333333335,1,1,3.75,0,1,2,Hibernating
14792,United Kingdom,63,1,6.2,3,1,1,1.6666666666666667,1,2,3.1,0,0,0,Loyal Regulars
15913,United Kingdom,534,1,6.3,5,2,1,2.6666666666666665,1,3,6.3,0,1,2,Hibernating
15040,United Kingdom,541,1,7.49,5,2,1,2.6666666666666665,1,1,7.49,0,1,2,Hibernating
18115,United Kingdom,697,1,9.7,5,2,1,2.6666666666666665,1,3,3.23,0,1,2,Hibernating
17378,United Kingdom,374,1,10.95,4,1,1,2.0,1,1,10.95,0,1,2,Hibernating
17956,United Kingdom,249,1,12.75,4,1,1,2.0,1,1,12.75,0,1,0,Loyal Regulars
16878,United Kingdom,84,1,13.3,3,1,1,1.6666666666666667,1,12,4.43,0,0,0,Loyal Regulars
14900,United Kingdom,522,1,13.92,5,1,1,2.3333333333333335,1,48,13.92,0,1,2,Hibernating
14580,United Kingdom,518,1,14.85,5,1,1,2.3333333333333335,1,3,14.85,0,1,2,Hibernating
12846,United Kingdom,682,1,15.58,5,2,1,2.6666666666666665,1,1,15.58,0,1,2,Hibernating
16093,United Kingdom,106,1,17.0,3,1,1,1.6666666666666667,1,20,17.0,0,1,0,Loyal Regulars
13163,United Kingdom,610,1,17.65,5,2,1,2.6666666666666665,1,3,8.82,0,1,2,Hibernating
15999,United Kingdom,735,1,20.4,5,2,1,2.6666666666666665,1,24,20.4,0,1,2,Hibernating
13112,United Kingdom,541,1,20.6,5,2,1,2.6666666666666665,1,11,10.3,0,1,2,Hibernating
17986,United Kingdom,56,1,20.8,2,1,1,1.3333333333333333,1,10,20.8,0,0,0,Loyal Regulars
16953,United Kingdom,30,1,20.8,2,1,1,1.3333333333333333,1,10,20.8,0,0,0,Loyal Regulars
12606,Spain,682,1,21.0,5,2,1,2.6666666666666665,1,1,21.0,0,1,2,Hibernating
16537,United Kingdom,641,1,23.35,5,2,1,2.6666666666666665,1,59,5.84,0,1,2,Hibernating
14610,United Kingdom,395,2,24.35,4,2,1,2.3333333333333335,2,15,2.43,119,1,2,Hibernating
15284,United Kingdom,500,1,24.75,5,1,1,2.3333333333333335,1,5,24.75,0,1,2,Hibernating
17102,United Kingdom,261,1,25.5,4,1,1,2.0,1,2,25.5,0,1,2,Hibernating
17319,United Kingdom,669,1,29.1,5,2,1,2.6666666666666665,1,14,9.7,0,1,2,Hibernating
15657,United Kingdom,22,1,30.0,2,1,1,1.3333333333333333,1,24,30.0,0,0,0,Loyal Regulars
15575,United Kingdom,619,1,30.1,5,2,1,2.6666666666666665,1,6,10.03,0,1,2,Hibernating
16548,United Kingdom,599,1,30.15,5,2,1,2.6666666666666665,1,6,5.02,0,1,2,Hibernating
13120,United Kingdom,238,1,30.6,4,1,1,2.0,1,12,30.6,0,1,0,Loyal Regulars
14144,United Kingdom,486,1,30.6,5,1,1,2.3333333333333335,1,12,30.6,0,1,2,Hibernating
16454,United Kingdom,44,4,30.95,2,4,1,2.3333333333333335,4,9,7.74,567,0,0,Loyal Regulars
17129,United Kingdom,520,1,31.85,5,1,1,2.3333333333333335,1,5,15.93,0,1,2,Hibernating
14977,United Kingdom,725,1,31.93,5,2,1,2.6666666666666665,1,17,7.98,0,1,2,Hibernating
16941,United Kingdom,611,1,33.0,5,2,1,2.6666666666666665,1,12,16.5,0,1,2,Hibernating
15871,United Kingdom,437,1,33.1,5,1,1,2.3333333333333335,1,5,6.62,0,1,2,Hibernating
17533,United Kingdom,434,1,34.8,5,1,1,2.3333333333333335,1,24,34.8,0,1,2,Hibernating
15744,United Kingdom,77,1,34.8,3,1,1,1.6666666666666667,1,120,11.6,0,0,0,Loyal Regulars
17831,United Kingdom,33,1,35.4,2,1,1,1.3333333333333333,1,12,17.7,0,0,0,Loyal Regulars
16417,United Kingdom,492,1,35.7,5,1,1,2.3333333333333335,1,6,35.7,0,1,2,Hibernating
15940,United Kingdom,311,1,35.8,4,1,1,2.0,1,4,35.8,0,1,2,Hibernating
14993,United Kingdom,563,1,36.13,5,2,1,2.6666666666666665,1,21,3.61,0,1,2,Hibernating
17352,United Kingdom,696,1,36.25,5,2,1,2.6666666666666665,1,15,7.25,0,1,2,Hibernating
16162,United Kingdom,252,1,37.4,4,1,1,2.0,1,4,18.7,0,1,2,Hibernating
15693,United Kingdom,659,1,37.5,5,2,1,2.6666666666666665,1,30,37.5,0,1,2,Hibernating
15455,United Kingdom,597,1,38.25,5,2,1,2.6666666666666665,1,3,19.13,0,1,2,Hibernating
18019,United Kingdom,51,1,38.45,2,1,1,1.3333333333333333,1,7,7.69,0,0,0,Loyal Regulars
17246,United Kingdom,546,2,38.92,5,2,1,2.6666666666666665,2,36,6.49,192,1,2,Hibernating
16659,United Kingdom,189,1,39.12,3,1,1,1.6666666666666667,1,72,19.56,0,1,0,Loyal Regulars
14086,United Kingdom,462,1,39.95,5,1,1,2.3333333333333335,1,1,39.95,0,1,2,Hibernating
15178,United Kingdom,260,1,40.5,4,1,1,2.0,1,30,13.5,0,1,2,Hibernating
14266,United Kingdom,428,1,40.56,5,1,1,2.3333333333333335,1,24,40.56,0,1,2,Hibernating
16219,United Kingdom,500,1,40.8,5,1,1,2.3333333333333335,1,48,40.8,0,1,2,Hibernating
13906,United Kingdom,409,1,42.0,4,1,1,2.0,1,100,42.0,0,1,2,Hibernating
13913,United Kingdom,506,1,42.22,5,1,1,2.3333333333333335,1,10,14.07,0,1,2,Hibernating
14300,United Kingdom,18,1,43.2,1,1,1,1.0,1,32,14.4,0,0,0,Loyal Regulars
17916,United Kingdom,628,2,43.87,5,2,1,2.6666666666666665,2,90,2.31,105,1,2,Hibernating
15672,United Kingdom,725,1,45.3,5,2,1,2.6666666666666665,1,10,15.1,0,1,2,Hibernating
15698,United Kingdom,624,1,46.2,5,2,1,2.6666666666666665,1,60,23.1,0,1,2,Hibernating
13438,United Kingdom,547,1,46.5,5,2,1,2.6666666666666665,1,10,46.5,0,1,2,Hibernating
16257,United Kingdom,176,1,46.95,3,1,1,1.6666666666666667,1,2,23.48,0,1,0,Loyal Regulars
16530,United Kingdom,668,1,48.35,5,2,1,2.6666666666666665,1,17,16.12,0,1,2,Hibernating
14380,United Kingdom,682,1,48.96,5,2,1,2.6666666666666665,1,1,48.96,0,1,2,Hibernating
18184,United Kingdom,15,1,49.8,1,1,1,1.0,1,60,49.8,0,0,0,Loyal Regulars
14743,United Kingdom,592,1,50.48,5,2,1,2.6666666666666665,1,40,16.83,0,1,2,Hibernating
14351,United Kingdom,164,1,51.0,3,1,1,1.6666666666666667,1,12,51.0,0,1,0,Loyal Regulars
13254,United Kingdom,376,1,51.41,4,1,1,2.0,1,43,12.85,0,1,2,Hibernating
17844,Canada,106,1,51.56,3,1,1,1.6666666666666667,1,52,10.31,0,1,0,Loyal Regulars
16786,United Kingdom,393,1,51.84,4,1,1,2.0,1,72,51.84,0,1,2,Hibernating
15313,United Kingdom,110,1,52.0,3,1,1,1.6666666666666667,1,25,52.0,0,1,0,Loyal Regulars
17599,United Kingdom,477,1,52.05,5,1,1,2.3333333333333335,1,11,17.35,0,1,2,Hibernating
16349,United Kingdom,290,1,53.5,4,1,1,2.0,1,9,5.94,0,1,2,Hibernating
13306,United Kingdom,430,1,53.65,5,1,1,2.3333333333333335,1,74,13.41,0,1,2,Hibernating
12496,Spain,620,2,54.09,5,2,1,2.6666666666666665,2,33,4.16,0,1,2,Hibernating
17494,United Kingdom,501,1,54.7,5,1,1,2.3333333333333335,1,26,18.23,0,1,2,Hibernating
12860,United Kingdom,693,1,55.47,5,2,1,2.6666666666666665,1,27,3.26,0,1,2,Hibernating
12776,Portugal,667,1,55.5,5,2,1,2.6666666666666665,1,46,13.88,0,1,2,Hibernating
15685,United Kingdom,450,1,55.98,5,1,1,2.3333333333333335,1,36,3.29,0,1,2,Hibernating
13366,United Kingdom,50,1,56.16,2,1,1,1.3333333333333333,1,144,56.16,0,0,0,Loyal Regulars
17775,United Kingdom,254,1,56.4,4,1,1,2.0,1,72,18.8,0,1,2,Hibernating
12466,France,682,1,56.73,5,2,1,2.6666666666666665,1,1,56.73,0,1,2,Hibernating
14384,United Kingdom,500,1,58.5,5,1,1,2.3333333333333335,1,30,19.5,0,1,2,Hibernating
15233,United Kingdom,401,1,59.4,4,1,1,2.0,1,12,59.4,0,1,2,Hibernating
15371,United Kingdom,662,1,59.4,5,2,1,2.6666666666666665,1,12,59.4,0,1,2,Hibernating
13682,United Kingdom,187,1,59.5,3,1,1,1.6666666666666667,1,10,19.83,0,1,0,Loyal Regulars
13391,United Kingdom,203,1,59.8,4,1,1,2.0,1,4,59.8,0,1,0,Loyal Regulars
17174,United Kingdom,217,1,59.9,4,1,1,2.0,1,41,14.97,0,1,0,Loyal Regulars
15250,United Kingdom,640,1,60.0,5,2,1,2.6666666666666665,1,48,20.0,0,1,2,Hibernating
16605,United Kingdom,724,1,60.48,5,2,1,2.6666666666666665,1,144,60.48,0,1,2,Hibernating
15375,United Kingdom,690,1,60.96,5,2,1,2.6666666666666665,1,84,10.16,0,1,2,Hibernating
13818,United Kingdom,429,1,61.28,5,1,1,2.3333333333333335,1,60,12.26,0,1,2,Hibernating
13303,United Kingdom,400,1,61.72,4,1,1,2.0,1,26,15.43,0,1,2,Hibernating
13380,United Kingdom,432,1,62.4,5,1,1,2.3333333333333335,1,48,20.8,0,1,2,Hibernating
15516,United Kingdom,44,3,62.43,2,3,1,2.0,3,27,4.16,2,0,0,Loyal Regulars
14650,United Kingdom,589,1,62.5,5,2,1,2.6666666666666665,1,22,15.63,0,1,2,Hibernating
13218,United Kingdom,127,1,62.64,3,1,1,1.6666666666666667,1,88,12.53,0,1,0,Loyal Regulars
16058,United Kingdom,406,1,62.7,4,1,1,2.0,1,18,31.35,0,1,2,Hibernating
12404,Finland,682,1,63.24,5,2,1,2.6666666666666665,1,1,63.24,0,1,2,Hibernating
15470,United Kingdom,575,1,63.42,5,2,1,2.6666666666666665,1,232,15.85,0,1,2,Hibernating
17263,United Kingdom,208,1,63.44,4,1,1,2.0,1,36,2.76,0,1,0,Loyal Regulars
16238,United Kingdom,422,1,63.66,5,1,1,2.3333333333333335,1,85,10.61,0,1,2,Hibernating
13130,United Kingdom,94,1,64.0,3,1,1,1.6666666666666667,1,32,32.0,0,1,0,Loyal Regulars
17216,United Kingdom,554,1,65.05,5,2,1,2.6666666666666665,1,22,4.65,0,1,2,Hibernating
13022,Belgium,429,1,65.3,5,1,1,2.3333333333333335,1,35,13.06,0,1,2,Hibernating
17532,United Kingdom,385,1,65.34,4,1,1,2.0,1,30,16.34,0,1,2,Hibernating
14393,United Kingdom,218,1,67.95,4,1,1,2.0,1,13,13.59,0,1,0,Loyal Regulars
17249,United Kingdom,428,1,68.03,5,1,1,2.3333333333333335,1,79,2.52,0,1,2,Hibernating
12861,United Kingdom,619,1,68.25,5,2,1,2.6666666666666665,1,27,17.06,0,1,2,Hibernating
14906,United Kingdom,445,1,68.44,5,1,1,2.3333333333333335,1,1,68.44,0,1,2,Hibernating
13172,United Kingdom,400,1,69.6,4,1,1,2.0,1,48,69.6,0,1,2,Hibernating
12568,Germany,644,1,70.0,5,2,1,2.6666666666666665,1,48,14.0,0,1,2,Hibernating
15564,United Kingdom,463,2,70.74,5,2,1,2.6666666666666665,2,42,17.69,213,1,2,Hibernating
13915,United Kingdom,394,1,70.8,4,1,1,2.0,1,24,35.4,0,1,2,Hibernating
14576,United Kingdom,372,1,70.8,4,1,1,2.0,1,24,35.4,0,1,2,Hibernating
13185,United Kingdom,267,1,71.4,4,1,1,2.0,1,12,71.4,0,1,2,Hibernating
17747,United Kingdom,112,1,71.4,3,1,1,1.6666666666666667,1,12,71.4,0,1,0,Loyal Regulars
16970,United Kingdom,626,1,71.4,5,2,1,2.6666666666666665,1,12,35.7,0,1,2,Hibernating
13938,United Kingdom,35,1,71.66,2,1,1,1.3333333333333333,1,70,10.24,0,0,0,Loyal Regulars
16459,United Kingdom,729,1,71.79,5,2,1,2.6666666666666665,1,59,14.36,0,1,2,Hibernating
13105,United Kingdom,436,1,72.0,5,1,1,2.3333333333333335,1,100,72.0,0,1,2,Hibernating
17906,United Kingdom,247,1,72.9,4,1,1,2.0,1,26,6.08,0,1,0,Loyal Regulars
16171,United Kingdom,59,1,73.2,3,1,1,1.6666666666666667,1,24,24.4,0,0,0,Loyal Regulars
12506,France,232,1,73.5,4,1,1,2.0,1,23,3.2,0,1,0,Loyal Regulars
18032,United Kingdom,334,1,73.5,4,1,1,2.0,1,42,14.7,0,1,2,Hibernating
13095,United Kingdom,70,1,74.4,3,1,1,1.6666666666666667,1,144,12.4,0,0,0,Loyal Regulars
16420,United Kingdom,396,1,75.0,4,1,1,2.0,1,120,37.5,0,1,2,Hibernating
17944,United Kingdom,423,1,75.41,5,1,1,2.3333333333333335,1,85,2.9,0,1,2,Hibernating
14559,United Kingdom,390,1,75.6,4,1,1,2.0,1,72,37.8,0,1,2,Hibernating
16610,United Kingdom,219,1,75.66,4,1,1,2.0,1,66,12.61,0,1,0,Loyal Regulars
17628,United Kingdom,81,1,75.75,3,1,1,1.6666666666666667,1,79,15.15,0,0,0,Loyal Regulars
13219,United Kingdom,618,1,76.23,5,2,1,2.6666666666666665,1,11,6.93,0,1,2,Hibernating
14613,United Kingdom,680,1,76.32,5,2,1,2.6666666666666665,1,72,76.32,0,1,2,Hibernating
15668,United Kingdom,217,1,76.32,4,1,1,2.0,1,72,76.32,0,1,0,Loyal Regulars
14090,United Kingdom,324,1,76.32,4,1,1,2.0,1,72,76.32,0,1,2,Hibernating
14373,United Kingdom,358,1,76.55,4,1,1,2.0,1,17,19.14,0,1,2,Hibernating
16867,United Kingdom,689,1,76.74,5,2,1,2.6666666666666665,1,58,12.79,0,1,2,Hibernating
13132,United Kingdom,261,1,77.3,4,1,1,2.0,1,20,25.77,0,1,2,Hibernating
14785,United Kingdom,10,2,77.4,1,3,1,1.6666666666666667,2,84,25.8,5,0,0,Loyal Regulars
17942,United Kingdom,7,1,77.5,1,1,1,1.0,1,38,38.75,0,0,0,Loyal Regulars
12570,Spain,682,1,77.52,5,2,1,2.6666666666666665,1,1,77.52,0,1,2,Hibernating
